time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-27T04:48:08.450Z,35.8763333,-117.7116667,8.92,0.86,ml,10,67,0.08027,0.13,ci,ci39014271,2019-12-27T04:51:39.342Z,"19km ESE of Little Lake, CA",earthquake,0.39,1,0.111,9,automatic,ci,ci
2019-12-27T04:47:06.112Z,35.05550385,-95.39025879,5,2.29,ml,13,212.5366287,0.1599337906,0.3963337648,ok,ok2019zico,2019-12-27T04:50:28.740Z,"7km SSW of Quinton, Oklahoma",earthquake,5.74546632,,,9,automatic,ok,ok
2019-12-27T04:46:26.093Z,59.7651,-152.1226,50.4,2.9,ml,,,,0.64,ak,ak019gl3nxlr,2019-12-27T05:13:47.040Z,"16km W of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-12-27T04:44:51.580Z,35.7858333,-117.6008333,4.54,1.07,ml,12,138,0.02996,0.16,ci,ci39014263,2019-12-27T04:48:36.482Z,"18km W of Searles Valley, CA",earthquake,0.4,0.65,0.119,12,automatic,ci,ci
2019-12-27T04:25:37.870Z,19.2304993,-155.3991699,31.58,2.14,ml,55,142,0.007143,0.13,hv,hv71294551,2019-12-27T04:31:16.940Z,"8km ENE of Pahala, Hawaii",earthquake,0.48,0.71,4.26,3,automatic,hv,hv
2019-12-27T04:24:58.054Z,58.9651,-153.068,64.9,2,ml,,,,0.54,ak,ak019gl3jafg,2019-12-27T04:28:08.105Z,"114km SW of Homer, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-12-27T04:19:48.310Z,36.0931664,-117.8628311,1.56,1.78,ml,19,95,0.0252,0.18,ci,ci39014255,2019-12-27T04:23:28.389Z,"9km NE of Coso Junction, CA",earthquake,0.36,0.48,0.335,8,automatic,ci,ci
2019-12-27T04:15:51.440Z,19.2351665,-155.3951721,32.74,2.21,ml,53,141,0.0032,0.12,hv,hv71294536,2019-12-27T04:21:30.970Z,"9km ENE of Pahala, Hawaii",earthquake,0.46,0.75,0.1,3,automatic,hv,hv
2019-12-27T04:07:53.651Z,35.98433685,-97.67353058,6.927007675,1.87,ml,14,173.7689667,0.1244433522,0.9010185847,ok,ok2019zibh,2019-12-27T04:11:04.365Z,"7km WNW of Crescent, Oklahoma",earthquake,5.730372257,5.578203007,,12,automatic,ok,ok
2019-12-27T04:00:17.990Z,35.959,-117.6788333,2.2,1.69,ml,12,152,0.02561,0.16,ci,ci39014247,2019-12-27T04:04:06.680Z,"21km E of Little Lake, CA",earthquake,0.51,0.39,0.158,22,automatic,ci,ci
2019-12-27T03:53:59.338Z,61.3864,-150.0567,39.1,1.8,ml,,,,0.59,ak,ak019gl342lk,2019-12-27T03:58:06.656Z,"16km SSW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-12-27T03:38:32.490Z,38.7856674,-122.7434998,1.43,0.57,md,8,114,0.005825,0.01,nc,nc73320136,2019-12-27T04:06:02.449Z,"2km NE of The Geysers, CA",earthquake,0.31,0.63,,1,automatic,nc,nc
2019-12-27T03:33:12.460Z,36.74750137,-97.46747589,3.70915699,1.9,ml,17,170.4440384,0.203172043,0.2216810422,ok,ok2019ziad,2019-12-27T03:37:03.424Z,"16km WNW of Tonkawa, Oklahoma",earthquake,4.585619063,2.771597045,,13,automatic,ok,ok
2019-12-27T03:20:39.655Z,3.4555,-73.9805,10,4.6,mb,,92,1.421,1.22,us,us70006rer,2019-12-27T03:40:19.040Z,"8km SSE of Lejanias, Colombia",earthquake,6.5,1.9,0.058,89,reviewed,us,us
2019-12-27T03:08:51.694Z,63.2711,-149.5952,75.7,2.3,ml,,,,1.18,ak,ak019gl2uetr,2019-12-27T03:17:38.379Z,"34km WSW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-12-27T03:06:40.700Z,33.2236667,-116.7351667,11.89,0.89,ml,36,55,0.02328,0.16,ci,ci39014231,2019-12-27T03:10:20.248Z,"3km SE of Lake Henshaw, CA",earthquake,0.22,0.57,0.169,20,automatic,ci,ci
2019-12-27T02:55:07.720Z,35.8891667,-117.7368333,5.81,2.27,ml,23,59,0.0836,0.14,ci,ci39014223,2019-12-27T03:06:01.690Z,"16km ESE of Little Lake, CA",earthquake,0.2,0.77,0.168,25,automatic,ci,ci
2019-12-27T02:54:43.835Z,61.8705,-149.2749,18.8,1.9,ml,,,,0.71,ak,ak019gl2ithx,2019-12-27T03:00:34.013Z,"14km N of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-12-27T02:37:12.589Z,62.1294,-147.4784,20.9,2.3,ml,,,,0.76,ak,ak019gl2f3z5,2019-12-27T02:43:29.611Z,"80km ENE of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-12-27T02:27:32.960Z,38.8344994,-122.7921677,1.76,1.23,md,17,57,0.004156,0.03,nc,nc73320116,2019-12-27T03:33:05.218Z,"6km WNW of Cobb, CA",earthquake,0.22,0.43,0.09,5,automatic,nc,nc
2019-12-27T02:21:47.970Z,35.7721672,-117.597168,7.6,3.67,mlr,53,65,0.04348,0.19,ci,ci39014215,2019-12-27T06:29:44.206Z,"17km W of Searles Valley, CA",earthquake,0.22,0.46,0.218,15,reviewed,ci,ci
2019-12-27T02:20:53.120Z,37.6013336,-118.8174973,9.24,1.48,md,8,219,0.01458,0.01,nc,nc73320101,2019-12-27T06:24:02.701Z,"13km WNW of Toms Place, CA",earthquake,1.51,2,0.17,7,automatic,nc,nc
2019-12-27T02:18:00.850Z,33.4163333,-116.7893333,15,0.66,ml,22,80,0.08761,0.13,ci,ci39014207,2019-12-27T02:21:49.241Z,"8km ESE of Aguanga, CA",earthquake,0.24,0.54,0.081,18,automatic,ci,ci
2019-12-27T02:17:38.580Z,37.6399994,-118.9766693,18.82,1.43,md,5,198,0.0512,0.04,nc,nc73320091,2019-12-27T05:58:02.847Z,"0km NNE of Mammoth Lakes, CA",earthquake,4.8,5.55,0.23,5,automatic,nc,nc
2019-12-27T02:12:11.560Z,33.4836667,-116.7981667,4.02,0.19,ml,13,86,0.09607,0.15,ci,ci39014191,2019-12-27T02:15:47.943Z,"8km NE of Aguanga, CA",earthquake,0.38,1.05,0.081,4,automatic,ci,ci
2019-12-27T02:08:21.040Z,36.9225006,-121.3574982,26.11,1.24,md,7,190,0.07053,0.22,nc,nc73320081,2019-12-27T05:06:03.801Z,"9km NNE of Hollister, CA",earthquake,3.11,1.47,0.04,2,automatic,nc,nc
2019-12-27T01:56:53.180Z,38.829834,-122.8096695,2.18,0.56,md,12,64,0.006437,0.01,nc,nc73320066,2019-12-27T02:14:03.160Z,"7km NW of The Geysers, CA",earthquake,0.27,0.83,,1,automatic,nc,nc
2019-12-27T01:53:16.004Z,28.885,51.3613,38.28,5.1,mb,,73,5.838,0.9,us,us70006rec,2019-12-27T07:00:45.806Z,"44km SSE of Borazjan, Iran",earthquake,7.6,6.7,0.046,153,reviewed,us,us
2019-12-27T01:41:31.398Z,60.4198,-152.001,84.3,2.3,ml,,,,0.17,ak,ak019gl1ukqz,2019-12-27T01:44:47.269Z,"38km W of Cohoe, Alaska",earthquake,,1.3,,,automatic,ak,ak
2019-12-27T01:37:46.587Z,16.7917,-61.0227,35.02,4.8,mb,,103,0.478,1.02,us,us70006re9,2019-12-27T03:21:55.553Z,"54km N of Grande Anse, Guadeloupe",earthquake,6.6,7.4,0.042,176,reviewed,us,us
2019-12-27T01:35:48.860Z,37.5963326,-118.8136673,9.79,1.64,md,19,234,0.01379,0.03,nc,nc73320051,2019-12-27T04:12:02.485Z,"12km WNW of Toms Place, CA",earthquake,0.87,1.14,0.22,17,automatic,nc,nc
2019-12-27T01:30:44.290Z,19.2865,-67.6653,30,2.71,md,5,329,0.921,0.24,pr,pr2019361002,2019-12-27T06:28:26.619Z,"106km NW of San Antonio, Puerto Rico",earthquake,3.33,13.96,0.31,4,reviewed,pr,pr
2019-12-27T01:19:58.580Z,19.293,-67.3193,49,3.23,md,9,299,0.8513,0.14,pr,pr2019361000,2019-12-27T06:27:59.427Z,"91km NNW of San Antonio, Puerto Rico",earthquake,1.39,5.11,0.17,9,reviewed,pr,pr
2019-12-27T01:14:44.520Z,44.382,-122.863666666667,-0.55,1.06,ml,14,97,,0.27,uw,uw61565252,2019-12-27T04:44:01.740Z,"9km E of Brownsville, Oregon",explosion,0.5,31.61,0.0402185550143441,4,reviewed,uw,uw
2019-12-27T01:06:08.503Z,63.5039,-147.9221,0,1.9,ml,,,,0.82,ak,ak019gl1n0u0,2019-12-27T01:11:00.815Z,"52km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-27T01:01:44.450Z,37.6173325,-118.8424988,1.06,0.82,md,8,137,0.01382,0.02,nc,nc73320036,2019-12-27T03:19:03.134Z,"12km E of Mammoth Lakes, CA",earthquake,0.42,0.97,0.17,8,automatic,nc,nc
2019-12-27T00:51:03.520Z,38.7905006,-122.7460022,0.52,1.33,md,19,66,0.02315,0.05,nc,nc73320026,2019-12-27T02:53:01.972Z,"2km NNE of The Geysers, CA",earthquake,0.19,0.53,0.15,9,automatic,nc,nc
2019-12-27T00:44:10.500Z,35.4496667,-118.4005,0.91,1.55,ml,19,67,0.1589,0.19,ci,ci39014175,2019-12-27T00:47:51.423Z,"18km SSE of Bodfish, CA",earthquake,0.33,0.95,0.211,24,automatic,ci,ci
2019-12-27T00:36:32.620Z,38.7958336,-122.7381668,1.66,0.97,md,18,72,0.01263,0.03,nc,nc73320021,2019-12-27T02:26:03.796Z,"3km NE of The Geysers, CA",earthquake,0.26,0.48,0.11,5,automatic,nc,nc
2019-12-27T00:31:39.650Z,19.4626675,-155.5963287,-2.91,2.5,ml,49,52,0.01236,0.28,hv,hv71294281,2019-12-27T00:37:20.400Z,"28km E of Honaunau-Napoopoo, Hawaii",earthquake,0.45,0.25,3.18,22,automatic,hv,hv
2019-12-27T00:07:29.081Z,64.9422,-147.3184,4.2,2.1,ml,,,,0.59,ak,ak019gl11uis,2019-12-27T01:09:19.660Z,"18km NNE of Badger, Alaska",explosion,,0.2,,,automatic,ak,ak
2019-12-27T00:06:15.240Z,46.8696666666667,-121.7565,0.33,0.54,ml,9,91,,0.04,uw,uw61565247,2019-12-27T04:46:52.590Z,"29km NNW of Packwood, Washington",earthquake,0.31,0.62,0.335382289222555,5,reviewed,uw,uw
2019-12-27T00:04:01.810Z,33.9058342,-117.8844986,14.44,1.46,ml,11,134,0.07113,0.19,ci,ci39014151,2019-12-27T00:07:49.175Z,"2km SE of Brea, CA",earthquake,1.26,1.11,0.361,15,automatic,ci,ci
2019-12-26T23:49:23.840Z,19.222,-67.2836,56,2.95,md,4,316,0.8601,0.3,pr,pr2019360026,2019-12-27T06:27:54.677Z,"83km NNW of San Antonio, Puerto Rico",earthquake,3.72,8.71,0.18,3,reviewed,pr,pr
2019-12-26T23:46:46.540Z,35.8593333,-117.6988333,5.79,0.84,ml,10,84,0.07381,0.22,ci,ci39014143,2019-12-26T23:50:31.859Z,"21km ESE of Little Lake, CA",earthquake,0.49,1.21,0.161,9,automatic,ci,ci
2019-12-26T23:42:59.222Z,59.4594,-152.116,37,2.5,ml,,,,0.91,ak,ak019gjrf18d,2019-12-26T23:55:34.340Z,"36km SSW of Anchor Point, Alaska",earthquake,,0.8,,,automatic,ak,ak
2019-12-26T23:41:05.150Z,19.1796,-67.4681,60,2.56,md,5,319,0.7952,0.3,pr,pr2019360025,2019-12-27T06:35:29.859Z,"85km NNW of San Antonio, Puerto Rico",earthquake,2.61,5.67,0.54,5,reviewed,pr,pr
2019-12-26T23:38:05.810Z,35.5315,-117.3528333,5.97,2.24,ml,26,73,0.01156,0.23,ci,ci39014135,2019-12-26T23:49:04.570Z,"26km S of Trona, CA",earthquake,0.36,0.66,0.158,25,automatic,ci,ci
2019-12-26T23:31:37.640Z,18.0373,-66.803,74,2.3,md,3,246,0.2506,0.08,pr,pr2019360024,2019-12-27T06:26:47.747Z,"2km NNW of Guayanilla, Puerto Rico",earthquake,3.34,1.47,0.08,3,reviewed,pr,pr
2019-12-26T23:29:55.150Z,19.3304996,-155.1888275,3.38,1.82,ml,48,87,0.04988,0.15,hv,hv71294236,2019-12-26T23:35:32.840Z,"12km SSE of Volcano, Hawaii",earthquake,0.31,0.94,0.19,7,automatic,hv,hv
2019-12-26T23:24:31.866Z,61.4693,-149.896,38.6,2.1,ml,,,,0.84,ak,ak019gjrb4bw,2019-12-26T23:29:16.682Z,"6km SSE of Big Lake, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-12-26T23:24:10.340Z,18.7036,-67.7786,49,2.78,md,4,332,0.871,0.25,pr,pr2019360023,2019-12-27T06:26:31.651Z,"67km ENE of Punta Cana, Dominican Republic",earthquake,5.11,14.06,0.25,4,reviewed,pr,pr
2019-12-26T23:23:04.680Z,33.4871667,-116.7901667,5.99,1.6,ml,64,20,0.02654,0.2,ci,ci39014127,2019-12-26T23:33:57.950Z,"8km NE of Aguanga, CA",earthquake,0.16,0.56,0.137,26,automatic,ci,ci
2019-12-26T23:06:35.270Z,35.608,-117.4626667,5.07,1.73,ml,18,70,0.02585,0.18,ci,ci39014119,2019-12-26T23:10:31.804Z,"18km SSW of Searles Valley, CA",earthquake,0.32,0.41,0.143,25,automatic,ci,ci
2019-12-26T23:05:21.860Z,36.4873352,-121.064003,7.64,1.05,md,5,159,0.03236,0.02,nc,nc73319996,2019-12-27T00:28:03.851Z,"9km SE of Pinnacles, CA",earthquake,0.58,1.01,0.49,4,automatic,nc,nc
2019-12-26T23:01:32.080Z,36.6231651,-121.2313309,5.58,2.37,md,34,67,0.06328,0.1,nc,nc73319991,2019-12-26T23:59:02.629Z,"13km NW of Pinnacles, CA",earthquake,0.26,0.76,0.23,32,automatic,nc,nc
2019-12-26T22:56:12.630Z,34.8768333,-117.3918333,2.56,1.83,ml,32,44,0.1467,0.19,ci,ci39014111,2019-12-26T23:06:47.330Z,"27km ESE of Boron, CA",earthquake,0.28,1.64,0.141,26,automatic,ci,ci
2019-12-26T22:44:24.539Z,36.86688614,-97.71228027,3.909282446,1.83,ml,12,105.7901001,0.2050973624,0.2052799044,ok,ok2019zhqp,2019-12-26T22:46:46.763Z,"6km NNE of Medford, Oklahoma",earthquake,3.782479869,2.994674429,,6,automatic,ok,ok
2019-12-26T22:41:38.279Z,61.5193,-149.8798,35.7,1.8,ml,,,,0.58,ak,ak019gjqtcea,2019-12-26T22:46:17.928Z,"3km E of Big Lake, Alaska",earthquake,,1.1,,,automatic,ak,ak
2019-12-26T22:27:33.235Z,61.5097,-149.8824,40.6,1.8,ml,,,,0.55,ak,ak019gjqqbz4,2019-12-26T22:33:24.715Z,"4km ESE of Big Lake, Alaska",earthquake,,1.3,,,automatic,ak,ak
2019-12-26T22:24:14.960Z,38.8183327,-122.7898331,1.7,0.78,md,8,135,0.0112,0.07,nc,nc73319976,2019-12-26T23:43:03.538Z,"5km NNW of The Geysers, CA",earthquake,0.59,0.96,0.46,2,automatic,nc,nc
2019-12-26T21:58:31.200Z,33.7044983,-116.8198318,16.12,1.31,ml,47,41,0.07788,0.2,ci,ci39014087,2019-12-26T22:02:12.378Z,"8km SE of Valle Vista, CA",earthquake,0.38,0.53,0.228,9,automatic,ci,ci
2019-12-26T21:56:57.520Z,35.8665,-117.6715,9.63,1.3,ml,14,91,0.07861,0.15,ci,ci39014079,2019-12-26T22:00:38.132Z,"23km ESE of Little Lake, CA",earthquake,0.3,0.75,0.195,16,automatic,ci,ci
2019-12-26T21:47:52.380Z,17.2985,-68.3718,28,3.06,md,8,238,1.4057,0.4,pr,pr2019360022,2019-12-26T23:17:23.040Z,"131km SSE of Boca de Yuma, Dominican Republic",earthquake,3.05,29.56,0.35,6,reviewed,pr,pr
2019-12-26T21:42:52.710Z,35.8016667,-117.6405,5.56,0.77,ml,10,132,0.03766,0.15,ci,ci39014071,2019-12-26T21:46:36.285Z,"20km N of Ridgecrest, CA",earthquake,0.38,0.73,0.146,6,automatic,ci,ci
2019-12-26T21:33:32.958Z,57.42,-152.099,34.1,3,ml,,,,0.31,ak,ak019gjq66xc,2019-12-26T22:17:56.040Z,"45km SSE of Kodiak, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-26T21:29:44.810Z,38.8381653,-122.8361664,1.99,1.57,md,19,81,0.01927,0.03,nc,nc73319961,2019-12-26T23:16:02.956Z,"10km NW of The Geysers, CA",earthquake,0.19,0.41,0.08,6,automatic,nc,nc
2019-12-26T21:14:11.260Z,19.4138336,-155.302002,0.48,1.94,ml,15,191,0.007416,0.19,hv,hv71294086,2019-12-26T21:19:51.600Z,"7km WSW of Volcano, Hawaii",earthquake,0.59,0.35,0.15,5,automatic,hv,hv
2019-12-26T21:12:00.080Z,61.2368,-146.6212,10,1.5,ml,,,,0.65,ak,ak019gjq1i5j,2019-12-26T21:57:56.989Z,"18km NW of Valdez, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2019-12-26T20:53:20.470Z,32.7256667,-115.6471667,6.22,1.65,ml,7,197,0.1898,0.25,ci,ci39014031,2019-12-26T20:57:05.968Z,"11km SW of El Centro, CA",earthquake,2.27,31.61,0.236,18,automatic,ci,ci
2019-12-26T20:46:41.060Z,19.196,-67.3523,25,3,md,3,358,1.0545,0.07,pr,pr2019360021,2019-12-26T23:11:50.240Z,"82km NNW of San Antonio, Puerto Rico",earthquake,8.21,9.91,0,1,reviewed,pr,pr
2019-12-26T20:39:02.711Z,31.0097,-103.5343,2.42,2.6,ml,,69,0.201,0.36,us,us70006rbt,2019-12-26T22:11:55.040Z,"45km S of Pecos, Texas",earthquake,1.6,5.8,0.056,42,reviewed,us,us
2019-12-26T20:28:58.680Z,38.7970009,-122.7854996,3.73,0.89,md,18,43,0.004259,0.02,nc,nc73319946,2019-12-26T20:56:03.106Z,"3km NW of The Geysers, CA",earthquake,0.27,0.68,0.17,6,automatic,nc,nc
2019-12-26T20:19:50.460Z,19.177166,-155.5011597,36.03,2.18,md,50,88,0.04278,0.12,hv,hv71294056,2019-12-26T20:23:10.730Z,"3km SW of Pahala, Hawaii",earthquake,0.53,0.77,0.15,26,automatic,hv,hv
2019-12-26T19:56:11.332Z,52.5343,-168.6432,35,4.1,mb,,235,0.457,1.03,us,us70006rbj,2019-12-26T21:52:15.267Z,"47km SSE of Nikolski, Alaska",earthquake,6.7,2,0.146,13,reviewed,us,us
2019-12-26T19:48:23.630Z,37.5828323,-118.8231659,9.65,3.96,ml,25,112,0.008595,0.05,nc,nc73319936,2019-12-27T05:09:51.389Z,"13km W of Toms Place, CA",earthquake,0.38,0.67,0.267,41,reviewed,nc,nc
2019-12-26T19:28:30.090Z,35.8225,-117.6583333,6.17,1.32,ml,13,75,0.04989,0.16,ci,ci39014007,2019-12-26T19:32:11.023Z,"22km N of Ridgecrest, CA",earthquake,0.29,0.77,0.108,16,automatic,ci,ci
2019-12-26T19:24:55.965Z,32.3066,105.2109,10,4.5,mb,,93,4.188,0.64,us,us70006rbi,2019-12-26T22:04:06.040Z,"6km W of Qifo, China",earthquake,7.8,1.8,0.071,58,reviewed,us,us
2019-12-26T19:22:25.450Z,35.8516667,-117.6845,5.84,1.13,ml,15,58,0.07821,0.11,ci,ci39013999,2019-12-26T19:26:05.013Z,"22km ESE of Little Lake, CA",earthquake,0.23,0.66,0.119,14,automatic,ci,ci
2019-12-26T19:11:56.630Z,35.4258333,-118.1136667,8.9,1.87,ml,35,44,0.1127,0.13,ci,ci39013991,2019-12-26T20:39:58.900Z,"35km NNW of California City, CA",earthquake,0.2,0.64,0.248,26,reviewed,ci,ci
2019-12-26T19:08:01.970Z,19.2053337,-155.4539948,34.61,1.86,md,41,119,0.05025,0.12,hv,hv71293966,2019-12-26T19:11:13.320Z,"2km E of Pahala, Hawaii",earthquake,0.62,1.14,0.18,8,automatic,hv,hv
2019-12-26T19:04:46.947Z,57.8001,158.9706,10,4.3,mb,,118,4.634,1.33,us,us70006rb2,2019-12-26T21:52:57.040Z,"18km E of Tigil', Russia",earthquake,7.2,1.9,0.106,26,reviewed,us,us
2019-12-26T19:04:31.504Z,-17.4475,-178.7843,567.81,4.8,mb,,76,3.031,0.72,us,us70006raz,2019-12-26T21:40:00.040Z,"226km ESE of Lambasa, Fiji",earthquake,12.3,6.8,0.028,388,reviewed,us,us
2019-12-26T18:55:41.972Z,37.2879,-116.3467,5.8,1.1,ml,11,114.56,0.072,0.1444,nn,nn00714063,2019-12-27T02:08:12.938Z,"55km NE of Beatty, Nevada",earthquake,,1.5,0.58,6,reviewed,nn,nn
2019-12-26T18:55:01.864Z,36.41355896,-96.92586517,2.922439575,1.84,ml,26,78.42442703,0.01203206554,0.846006449,ok,ok2019zhiy,2019-12-26T18:57:38.032Z,"13km NW of Pawnee, Oklahoma",earthquake,2.50069194,1.884538374,,19,automatic,ok,ok
2019-12-26T18:51:36.350Z,38.8069992,-122.7985001,1.52,0.89,md,12,56,0.002679,0.03,nc,nc73319926,2019-12-26T19:09:05.539Z,"5km NW of The Geysers, CA",earthquake,0.25,0.53,0.13,3,automatic,nc,nc
2019-12-26T18:09:03.622Z,59.0454,158.7635,10,4.4,mb,,209,4.131,0.68,us,us70006r9j,2019-12-26T21:31:27.040Z,"69km W of Palana, Russia",earthquake,7.2,2,0.054,100,reviewed,us,us
2019-12-26T17:57:42.390Z,38.8048325,-122.7791672,1.82,0.78,md,12,49,0.01299,0.03,nc,nc73319921,2019-12-26T17:59:18.088Z,"4km NNW of The Geysers, CA",earthquake,0.28,0.63,0.46,2,automatic,nc,nc
2019-12-26T17:52:41.391Z,64.9888,-148.8056,9.8,1.5,ml,,,,0.21,ak,ak019gjnwjho,2019-12-26T17:58:34.100Z,"40km WNW of Ester, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-12-26T17:51:07.470Z,38.8128319,-122.8281631,1.89,0.79,md,15,60,0.004037,0.02,nc,nc73319911,2019-12-26T18:16:02.925Z,"7km WNW of The Geysers, CA",earthquake,0.23,0.52,0.22,2,automatic,nc,nc
2019-12-26T17:47:09.402Z,39.6522,95.3787,10,4.1,mb,,129,10.522,0.9,us,us70006r9d,2019-12-26T21:25:18.040Z,"89km SSW of Guazhou, China",earthquake,6.6,1.9,0.114,21,reviewed,us,us
2019-12-26T17:44:40.310Z,38.7566681,-122.7138367,2.14,1.56,md,15,100,0.01617,0.05,nc,nc73319896,2019-12-26T19:11:03.549Z,"3km SW of Anderson Springs, CA",earthquake,0.3,0.49,0.14,8,automatic,nc,nc
2019-12-26T17:42:36.890Z,38.8074989,-122.7938309,1.87,1.86,md,28,38,0.001242,0.04,nc,nc73319891,2019-12-26T18:43:03.373Z,"5km NW of The Geysers, CA",earthquake,0.18,0.33,0.14,9,automatic,nc,nc
2019-12-26T17:37:45.530Z,33.8715,-117.7281667,2.76,1.27,ml,19,114,0.06657,0.16,ci,ci39013943,2019-12-26T17:41:33.212Z,"8km ESE of Yorba Linda, CA",earthquake,0.39,0.63,0.212,32,automatic,ci,ci
2019-12-26T17:33:05.404Z,36.6994,-115.7958,5.3,1.1,ml,12,127.25,0.243,0.181,nn,nn00714046,2019-12-27T02:07:57.360Z,"57km NNE of Pahrump, Nevada",earthquake,,4,0.15,8,reviewed,nn,nn
2019-12-26T17:27:21.010Z,19.4063339,-155.2611694,1.38,2.11,md,18,56,0.005852,0.28,hv,hv71293786,2019-12-26T17:30:22.200Z,"3km SW of Volcano, Hawaii",earthquake,0.32,0.4,0.22,14,automatic,hv,hv
2019-12-26T17:21:42.376Z,58.7872,158.866,15.58,4.9,mb,,108,4.239,0.78,us,us70006r99,2019-12-26T17:40:19.040Z,"73km WSW of Palana, Russia",earthquake,9.4,2.4,0.035,260,reviewed,us,us
2019-12-26T17:13:51.402Z,58.8427,158.7756,16.99,5.4,mww,,87,4.18,0.62,us,us70006r97,2019-12-26T19:17:02.031Z,"74km WSW of Palana, Russia",earthquake,7.9,3.8,0.078,16,reviewed,us,us
2019-12-26T17:10:33.094Z,61.4265,-152.2211,0,1.7,ml,,,,0.9,ak,ak019gjnnirs,2019-12-26T20:36:42.850Z,"97km NNW of Nikiski, Alaska",earthquake,,0.3,,,automatic,ak,ak
